publisher,sale_price
(주)모아교육그룹,46800.0
(주)모아팩토리,33300.0
(주)박영사,37250.0
201팩토리 (201Factory),22500.0
21세기북스,16740.0
ABC CONSULTING,18000.0
BOOKK(부크크),13853.333333333334
BTB Books,29700.0
CS자격연구소,15300.0
EBS BOOKS,12150.0
HJ골든벨타임,18000.0
Hoi,33000.0
IRS Global(아이알에스글로벌),432000.0
IVP,27300.0
JMK,32000.0
REXmedia(렉스미디어),12600.0
SUN(도서출판 썬),18000.0
TaiBL(테이블),16200.0
YES24(북투어),10000.0
YNKMEDIA,5250.0
arte(아르테),17820.0
b(도서출판비),19950.0
beside books,15000.0
e비즈북스,16650.0
gasse(가쎄),25000.0
no book(노북),13500.0
가나북스,11700.0
가디언,15120.0
가람어린이,15300.0
가문비,10350.0
가톨릭출판사,24700.0
감은사,24800.0
강,19800.0
개혁된실천사,19000.0
건설교통저널,36000.0
건설정보사,47500.0
건축세계사(ARCHIWORLD),137750.0
걷는사람,14400.0
겜툰,10800.0
경연,30400.0
경영정보사,31800.0
경이로움+리더스북,48600.0
고래뱃속,14900.0
고래책빵,11700.0
고시넷,24300.0
고시동네,22800.0
고시아카데미,17000.0
고요아침,9600.0
고요한소리,950.0
골든래빗,39600.0
골든벨,19500.0
곰단지,22500.0
공감스토리,38000.0
공동체,18500.0
광문각출판미디어,20000.0
교우사(오판근),13000.0
구미서관,20000.0
구민사,40500.0
국민서관(전집),50400.0
국제제자훈련원(DMI),28800.0
국학자료원,300000.0
궁리출판,18000.0
그라픽네트,30000.0
그래서음악,20700.0
그레이트북스(단행),11700.0
그리심,27250.0
그린키즈(전집),16755.0
글담,15300.0
글라이더,25203.333333333332
글방과책방,21850.0
금성출판사,8100.0
기문사,18000.0
기타캠프,16200.0
길,27000.0
길벗,22800.0
길벗어린이,26125.0
길벗캠퍼스,28400.0
길찾기,7200.0
김앤북,22800.0
김영사,16020.0
나눔book,43200.0
나눔에듀,62000.0
나무옆의자,16020.0
나무와숲,13500.0
나무한그루,13500.0
나우퍼블리셔,29000.0
나침반사,17100.0
난다,16200.0
내일도맑음,11700.0
너와숲,27000.0
넥서스,15300.0
넥서스JAPANESE,21600.0
노란상상,11700.0
논장(전집),133050.0
놀,15750.0
농수축산신문,120000.0
뉴매헌,10800.0
뉴스1,31500.0
다다북스,13050.0
다락원,12337.5
다른,13500.0
다봄교육,15960.0
다산북스,16200.0
다산어린이,11700.0
다산어린이(전집),43200.0
다산코믹스,26100.0
다섯수레(전집),113445.0
다운샘,23000.0
단꿈아이(전집),122850.0
단한권의책,15120.0
달리,15120.0
달아실,9900.0
담마꽃,9800.0
담북,17100.0
담터미디어(전집),54540.0
대경북스,15120.0
대외경제정책연구원,12000.0
대원,5125.263157894737
대원씨아이(단행)(대원키즈),12750.0
대원앤북(대원씨아이),4500.0
대장간,12600.0
대한기독교서회,43200.0
대한나래출판사,48000.0
대한성서공회,23250.0
더뉴런,19800.0
더디퍼런스,15300.0
더숲,16200.0
더에이스에듀,14250.0
더퀘스트,12600.0
데이원,21780.0
도서출판 까미,11400.0
도서출판 무지개(전집),295200.0
도서출판 유성,23750.0
도서출판 윤진,47500.0
도서출판북트리,27000.0
도서출판샘문,9000.0
도서출판이종,15120.0
도서출판청람(이수영),26000.0
도트북,20700.0
도티도그,13500.0
돌계단,13300.0
동글디자인,32400.0
동녘,14400.0
동문사,35000.0
동북아역사재단,17100.0
동산문학사,13500.0
동양북스(동양books),15750.0
동연출판사,20880.0
동일출판사,24900.0
동행,16920.0
동화기술,35000.0
두드림미디어,17400.0
두란노,10014.285714285714
듀오북스,31500.0
드림북매니아,89000.0
드림셀러,15120.0
디모데,16150.0
디스커버리미디어,18900.0
디앤씨웹툰비즈,14400.0
디자인이음,27000.0
디지털북스,18000.0
떠오름,15840.0
뜨인돌,15120.0
라임(전집),156240.0
라즈베리,29700.0
래디시,36900.0
랜드하나,76950.0
레가토,18000.0
로이북스,11700.0
로크미디어,9855.0
롱테일북스,18000.0
루덴스,7253.333333333333
리더북스,15120.0
리드리드출판,16920.0
리바이포유,12000.0
리북스,29000.0
리얼러닝,12150.0
리얼북스,13500.0
리틀씨앤톡,11700.0
리한컴퍼니(전집),81000.0
마오르,16200.0
마을에숨어,15120.0
마인드큐브,25200.0
마카롱플러스미디어,32400.0
매일경제신문사,18000.0
매직머니,12000.0
메가스터디교육(공무원),21960.0
메이킹북스,15660.0
멘토링,25175.0
멘토스,32400.0
명문당,18000.0
모닝에듀,16200.0
몽실북스,14400.0
무지개BOOKS,39000.0
문예원,35000.0
문예춘추사,15120.0
문학공감,15300.0
문학공원,13000.0
문학나무,10800.0
문학동네,16200.0
문학마을,12600.0
문학수첩,15600.0
뭉치,13500.0
미다스북스(리틀미다스),18720.0
미디어북,20000.0
미디어서산,12600.0
미디어정훈,28800.0
미래북(MiraeBook),16020.0
미래엔아이세움(전집),82575.0
미래인,12150.0
미술과비평,57000.0
미우(대원),8100.0
민들레나라,13500.0
민속원,78000.0
민음사,27000.0
밀알북스,14250.0
바나나BOOK,18000.0
바람이불어오는곳,15750.0
바른북스,16800.0
박문각,20106.0
박영사,45000.0
박영스토리,13500.0
반니,18900.0
반석북스,22500.0
반석출판사,12600.0
반출판사,14400.0
밝은세상,15120.0
배움,21083.333333333332
백산출판사,25500.0
범론사,24300.0
법률출판사,43000.0
법문사,36000.0
법학사,35333.333333333336
베틀북,13500.0
보누스,15120.0
보림,11700.0
보림(전집),157800.0
보민출판사,10800.0
복두출판사,26333.333333333332
복있는사람,21537.5
봄마중,10800.0
봄볕,10800.0
봄봄출판사,13500.0
부민문화사,19000.0
부연사(부동산연구사),47000.0
북&월드,16200.0
북극곰,16200.0
북다,13950.0
북랩,13500.0
북루덴스,17100.0
북센스,15660.0
북스케치,14400.0
북스힐,19500.0
북앤정,21000.0
북플라자,15120.0
북플레저,17820.0
분도출판사,8550.0
분홍고래,12600.0
불교시대사,18000.0
브니엘,16200.0
브레인플랫폼,13500.0
블랙피쉬,18225.0
블레싱북스,15300.0
블루래빗,18257.14285714286
블루앤노트,16000.0
비룡소,12600.0
비룡소(전집),75600.0
비아토르,35820.0
비앤비출판사,18000.0
비제이퍼블릭(BJ퍼블릭),21600.0
비즈니스북스,15120.0
빈센트,16000.0
빚은책들,15120.0
뿌리와이파리,19800.0
사마출판,23750.0
사슴벌레연구소,25000.0
사자와어린양,18050.0
사파리(전집),459090.0
산솔미디어,17820.0
산업경제리서치,396000.0
산업연구원,4800.0
살림터,28800.0
삼원북스,34800.0
삼원서원,40850.0
삼일인포마인,40000.0
상상,13500.0
상상아,12350.0
상상출판,17820.0
상학당,29000.0
새벽산책,18000.0
새흐름,11400.0
생각나눔,11700.0
생각비행,31500.0
생각생각,18000.0
생각의빛,13050.0
생각의창,17100.0
생능출판사,29500.0
서사원,17100.0
서삼독,35100.0
서울고시각,24300.0
서울대학교출판문화원,15000.0
서울문화사,12600.0
서울미디어코믹스(서울문화사),5450.0
서원각,19800.0
선인,15000.0
섬과달,18900.0
성서원,22325.0
성안당,37800.0
성연(도서출판),10800.0
성진미디어,35000.0
세계사,16200.0
세광음악출판사,13500.0
세미콜론,13500.0
세진북스,31500.0
세창미디어,19500.0
세창출판사,21333.333333333332
세화(박룡),17700.0
소명출판,25887.5
소미미디어,9390.0
소온,20000.0
손평하나,25200.0
수류화개,16200.0
수학연구사,17550.0
스케치스,20700.0
슬로디미디어,14760.0
시간의흐름,16200.0
시공사,18900.0
시공주니어,20700.0
시공주니어(전집),218812.5
시그마프레스,45000.0
시대가치,38000.0
시대고시기획 시대교육,24060.0
시대인,11250.0
시아북,10800.0
시와사람사,14250.0
시인동네,9000.0
시커뮤니케이션,15200.0
신세림,22500.0
신영사,38000.0
실천(도서출판),11400.0
실천문학사,9000.0
심미안,33250.0
심통,28800.0
쌤앤파커스,17820.0
써네스트,13500.0
씨엘웍스,19000.0
씽크스마트,8820.0
아노락코리아,45000.0
아라미,8100.0
아름다운사람들,17820.0
아름출판사,6300.0
아마존북스,15300.0
아시아,16200.0
아시아타임즈,14250.0
아울북,13080.0
아이누리,8500.0
아이세움(전집),165375.0
아이엠에듀(iamedu),32062.5
아이음,11700.0
아작,13320.0
안그라픽스,23750.0
알렙,9000.0
알에이치코리아(RHK),19800.0
애플비북스,37200.0
액션메소드,12350.0
앤북스(전집),114750.0
야옹서가,22500.0
양서원(박철용),34333.333333333336
양성원(강철원),21000.0
어린이작가정신,11700.0
어문학사,23400.0
어스본코리아,10450.0
어울림(수험서),20314.285714285714
엄마와아들,20000.0
에듀비,15500.0
에듀윌,25762.5
에듀콕스,25650.0
에스엔에스소통연구소,18000.0
에스티유니타스,11250.0
에이도스,15300.0
에이콘출판사,31500.0
에코리브르,31500.0
엔트미디어,27000.0
엔플북스,23400.0
엘프린트,20700.0
엠디월드,240000.0
여신,166250.0
연두(yeondoo),21600.0
연인(연인M&B),10800.0
열린서원,22325.0
열린인공지능,8500.0
열림원,15300.0
영기획비엠씨,29700.0
영상노트,8100.0
영진닷컴,21840.0
예님,9700.0
예문사,27600.0
예문서원,29000.0
예문에듀,27000.0
예솔,19000.0
예수전도단,15200.0
오스틴북스,31500.0
오에이치케이(OHK),20130.0
오월의봄,13950.0
오트(AUGHT),25200.0
올리커,19800.0
와이즈만북스(와이즈만 BOOKs),11700.0
와이즈만북스(전집),155250.0
용감한까치,29700.0
용감한북스,13500.0
우리교육,18000.0
우리학교,18900.0
우주나무,13500.0
웃는나무,18900.0
워크디자인북,99694.54545454546
원앤원북스,17100.0
위드북 기획세트,87600.0
위즈덤하우스,30802.727272727272
윌비스,43740.0
유노라이프,15030.0
유원북스,17000.0
유하다요,15120.0
육일문화사,17812.5
윤성사,30000.0
윤조,19800.0
은하수(은하수미디어),6964.285714285715
은하출판사,23400.0
은행나무,13500.0
을파소(21세기북스),17820.0
이김,15960.0
이레미디어,19800.0
이마주,13500.0
이상북스,15300.0
이스턴드래곤,24300.0
이지북,12510.0
이지스퍼블리싱,19125.0
이터,16200.0
이투스북,17550.0
이패스코리아,28980.0
이학사,15200.0
인라우드,19800.0
인문엠앤비,9000.0
일진사,25900.0
잇츠북어린이,11700.0
자연과생태,19800.0
자음과모음,12960.0
작가정신,13500.0
재담북스,26400.0
전남대학교출판문화원,14566.666666666666
전망,16625.0
정경시사FOCUS,18000.0
정다와,19800.0
정독,38000.0
정림사,14000.0
정민사,23000.0
정인출판사,13500.0
제이앤씨(J&C),20900.0
제제의숲,13500.0
조선일보사,13500.0
조세신보사,65000.0
종려가지,9000.0
좋은땅,12780.0
좋은생각 어린이,13500.0
주니어RHK,13500.0
주니어김영사(전집),648000.0
주니어마리,11700.0
즐거운상상,15750.0
지경사,22500.0
지만지한국문학,16800.0
지상의책(갈매나무),16650.0
지성인,19800.0
지식과감성#,17770.0
지식여행,17820.0
지식오름,19800.0
지식플랫폼(비즈니스),13500.0
지우북스,26000.0
지원,4900.0
지원출판사(전집),55800.0
지적에듀,29700.0
진달래출판사,18000.0
진리의집,23750.0
진선출판사(전집),25650.0
진영사,20000.0
진한엠앤비,33792.857142857145
집문당,15000.0
찬솔,12600.0
찰리북,52200.0
창비,13500.0
창비교육,9000.0
창조문학사,9500.0
창조와지식,16200.0
창지사,21000.0
채우리,315900.0
책고래출판사,13500.0
책과나무,16200.0
책과상상(행복한상상),23400.0
