title,author,publisher,publish_date,original_price,sale_price
요한복음에 나타난 아가페 사랑 신학 IX,박종욱 저,ABC CONSULTING,2023년 12월 29일,"18,000원","18,000"
칼빈주의 정통과 이단,김학관 저,BOOKK(부크크),2024년 01월 02일,"14,400원","14,400"
당신의 꿈이 꿈해몽과 맞지 않는 이유,양산의영웅 저,BOOKK(부크크),2024년 01월 01일,"11,000원","11,000"
숫자가 말하는 운세 2,임점화淡 저,BOOKK(부크크),2023년 12월 29일,"7,400원","7,400"
Messengers of Light 빛의 전달자들,"홍아리엘, 김광호, 박모세, 고정화, 김영희 저 외 6명 정보 더 보기/감추기",BOOKK(부크크),2023년 12월 29일,"14,300원","14,300"
데일리 푸드(Sermons) 10,임승관 저,BOOKK(부크크),2024년 01월 03일,"29,000원","29,000"
성령의 열매,최인천 저,BOOKK(부크크),2024년 01월 12일,"14,600원","14,600"
"목회, 디아코니아를 만나다.",김근수 저,BOOKK(부크크),2024년 01월 08일,"9,500원","9,500"
반야심경Ⅰ,풍칠 저,포스트리뷰(Postreview),2024년 01월 15일,"18,000원","18,000"
사도행전 주석 21장,여재창 저,BOOKK(부크크),2024년 01월 09일,"34,900원","34,900"
로고스와 레마의 계시록 해석,클레어 송 저,BOOKK(부크크),2024년 01월 10일,"34,300원","34,300"
일러스트와 함께 하는 붓다의 마지막 메시지,김백설 그림/김지명 편,담마꽃,2024년 01월 20일,"9,800원","9,800"
후앰 아이?,오아론 저,페스트북,2024년 01월 17일,"19,800원","19,800"
Divine Debunker: Spiritual Symposium,Lee Seungeun 저,BOOKK(부크크),2024년 01월 08일,"10,200원","10,200"
의로 펼쳐지는 마태복음의 세계,김일회 저,BOOKK(부크크),2023년 12월 06일,"20,100원","20,100"
Educational Research and Implications,장봉석 저,BOOKK(부크크),2023년 12월 26일,"15,000원","15,000"
Curriculum Theory,장봉석 저,BOOKK(부크크),2023년 12월 26일,"14,000원","14,000"
Curriculum Development and Implementation,장봉석 저,BOOKK(부크크),2023년 12월 26일,"13,000원","13,000"
"중국, 넌 어떻게 생각해?","최하늘, 김다희, 윤태민 저",BOOKK(부크크),2024년 01월 04일,"8,100원","8,100"
TRENDER,"강영흠, 김동환, 김시현, 김지윤, 이가현 저 외 1명 정보 더 보기/감추기",BOOKK(부크크),2024년 01월 08일,"13,500원","13,500"
"공교육 멈춤, 그 이후","김재현, 류창기, 성현아, 송칠섭, 양봉준 저 외 2명 정보 더 보기/감추기",beside books,2024년 01월 19일,"15,000원","15,000"
Unlocking the Power of Adaptation,천은진 저,페스트북,2024년 01월 10일,"19,500원","19,500"
"특수교사, 특수교육을 사유하다 2",특수교육연구회 셋업 SET-UP 저,BOOKK(부크크),2024년 01월 15일,"17,000원","17,000"
우아한 인생 이야기,"조윤제, 지미자, 하종정, 문겨아, 조유제, 성창경, 정용식, 김경금, 정윤희, 성영희, 조윤래, 이춘엽 저",BOOKK(부크크),,"14,500원","14,500"
나는 행복한 사람,신정순 저,BOOKK(부크크),2023년 12월 29일,"10,000원","10,000"
회사라는 이름의 가스라이팅,옥덕순 저,BOOKK(부크크),2024년 01월 02일,"11,000원","11,000"
행복한 우리들의 일상여행,이태영 저,BOOKK(부크크),2023년 12월 20일,"12,900원","12,900"
파도타기,"김정현, 김혜정, 박경아, 양혜인 저",BOOKK(부크크),2024년 01월 08일,"11,000원","11,000"
퇴사는 처음이라,KEIDY(케이디) 저,BOOKK(부크크),2024년 01월 10일,"12,000원","12,000"
클레이의 정원,장현정 저,BOOKK(부크크),2024년 01월 11일,"11,500원","11,500"
"[무지개] NEW EQ의 천재들 (전115종)_2023년 개정 증보판, 세이펜 호환/별매",편집부,도서출판 무지개(전집),2024년 01월 17일,"328,000원","295,200"
퀴어한 관계,진영현 저,BOOKK(부크크),2024년 01월 04일,"16,000원","16,000"
처음과 처음이 만나서,남보라 저,BOOKK(부크크),2024년 01월 07일,"13,000원","13,000"
젊은 나에게,김의수 저,BOOKK(부크크),2024년 01월 12일,"13,600원","13,600"
작지만 달콤한 행복,이선주 저,BOOKK(부크크),2024년 01월 10일,"23,900원","23,900"
가을산 아이들,박상재 글 / 성혜진 그림,고요아침,2023년 12월 28일,"12,000원","10,800"
설민석의 한국사 대모험 11-26 권 세트,설민석,단꿈아이(전집),2023년 05월 10일,"208,000원","187,200"
멸치 블랙박스,윤미경 글 / 성혜진 그림,고요아침,2023년 12월 28일,"12,000원","10,800"
2024 이동기 영어 실전동형 모의고사 Vol. 2,(주)이앤미래(이동기) 저,에스티유니타스,2024년 02월 01일,"11,000원","9,900"
일곱색깔 무지개,"김재희, 이은재, 김민영, 김화수, 전미주, 이윤경, 최희숙 저",BOOKK(부크크),2024년 01월 01일,"12,000원","12,000"
다정한 동행,신세민 저,공동체,2024년 01월 30일,"15,000원","15,000"
이야기 : 한 해를 돌아보며,"정재운, 장현화, 이영진, 민은숙, 기정화, 최진호, 뽀뽀리 저",BOOKK(부크크),2024년 01월 09일,"10,400원","10,400"
유아교과교육론,"양정은, 신애선, 임경례 공저",공동체,2023년 12월 20일,"22,000원","22,000"
이별보관소,한희 저,BOOKK(부크크),2024년 01월 04일,"12,100원","12,100"
의문,김유나 저,BOOKK(부크크),2024년 01월 05일,"5,600원","5,600"
